"Betrag";"Buchungstag";"Kategorie"
"-50.00";"13.01.2015";"Bankautomat"
"-6.33";"16.01.2015";"Post"
"-11.10";"15.01.2015";"Lebensmittel"
"-38.00";"15.01.2015";"Wohnen"
"-52.06";"13.01.2015";"Handy"
"11.35";"12.01.2015";"Tagesgeld"
"-37.80";"12.01.2015";"Freizeit"
"-31.76";"12.01.2015";"Lebensmittel"
"-303.11";"12.01.2015";"Kreditkarte"
"-106.77";"12.01.2015";"Studium"
"-13.00";"03.01.2015";"Familie"
"-3.30";"03.01.2015";"Drogerie"
"-8.56";"08.01.2015";"Lebensmittel"
"-2.63";"08.01.2015";"Lebensmittel"
"-8.50";"08.01.2015";"Gesundheit"
"-0.33";"08.01.2015";"Premiumaccounts"
"-10.85";"08.01.2015";"Wohnen"
"-7.02";"07.01.2015";"Lebensmittel"
"-3.00";"07.01.2015";"Post"
"-31.30";"07.01.2015";"Wohnen"
"-10.00";"07.01.2015";"Bankautomat"
"-155.76";"06.01.2015";"Wohnen"
"-10.15";"06.01.2015";"Wohnen"
"-11.00";"06.01.2015";"Versicherung"
"-6.77";"05.01.2015";"Studium"
"-30.76";"02.01.2015";"Versicherung"
"-51.58";"02.01.2015";"Fahrtkosten"
"-61.63";"02.01.2015";"Bettina"
"-10.00";"02.01.2015";"Versicherung"
"-3.00";"02.01.2015";"Wohnen"
